POST	/listings/:id/channels/:channel/update	apps/api/src/routes/channels.ts:200	perm=listing:write	portal=false
PATCH	/listings/:id/status	apps/api/src/routes/listings.ts:351	perm=listing:write	portal=false
GET	/me/memberships	apps/api/src/routes/me.ts:11	perm=-	portal=false
GET	/meta/ad-profiles	apps/api/src/routes/meta.ts:212	perm=meta:read	portal=false
POST	/meta/ad-profiles	apps/api/src/routes/meta.ts:231	perm=meta:write	portal=false
POST	/meta/ad-profiles/:id/create-campaign	apps/api/src/routes/meta.ts:464	perm=meta:write	portal=false
GET	/meta/campaigns	apps/api/src/routes/meta.ts:350	perm=meta:read	portal=false
GET	/meta/campaigns/:id	apps/api/src/routes/meta.ts:373	perm=meta:read	portal=false
POST	/meta/campaigns/:id/archive	apps/api/src/routes/meta.ts:741	perm=meta:write	portal=false
POST	/meta/campaigns/:id/budget	apps/api/src/routes/meta.ts:765	perm=meta:write	portal=false
POST	/meta/campaigns/:id/creative	apps/api/src/routes/meta.ts:826	perm=meta:write	portal=false
POST	/meta/campaigns/:id/pause	apps/api/src/routes/meta.ts:693	perm=meta:write	portal=false
GET	/meta/campaigns/:id/preview	apps/api/src/routes/meta.ts:430	perm=meta:read	portal=false
POST	/meta/campaigns/:id/publish	apps/api/src/routes/meta.ts:669	perm=meta:write	portal=false
POST	/meta/campaigns/:id/resume	apps/api/src/routes/meta.ts:717	perm=meta:write	portal=false
POST	/meta/campaigns/:id/schedule	apps/api/src/routes/meta.ts:802	perm=meta:write	portal=false
POST	/meta/campaigns/:id/sync-insights	apps/api/src/routes/meta.ts:876	perm=meta:write	portal=false
GET	/meta/connections	apps/api/src/routes/meta.ts:99	perm=meta:read	portal=false
POST	/meta/connections	apps/api/src/routes/meta.ts:109	perm=meta:write	portal=false
GET	/meta/connections/:id/assets	apps/api/src/routes/meta.ts:174	perm=meta:read	portal=false
GET	/organizations/:orgId/members	apps/api/src/routes/organizations.ts:52	perm=-	portal=false
POST	/organizations/:orgId/members	apps/api/src/routes/organizations.ts:77	perm=-	portal=false
DELETE	/organizations/:orgId/members/:userId	apps/api/src/routes/organizations.ts:163	perm=-	portal=false
PATCH	/organizations/:orgId/members/:userId	apps/api/src/routes/organizations.ts:118	perm=-	portal=false
GET	/parties	apps/api/src/routes/parties.ts:201	perm=party:read	portal=false
POST	/parties	apps/api/src/routes/parties.ts:101	perm=party:write	portal=false
